id,startstop,ligne,endstop,dir,ridedist
354,180,TX7,1678,1,3299
355,770,L5,464,2,2350
356,770,L5,32,2,8475
357,338,L2,347,1,3150
358,770,L5,66,2,7050
359,18,TX4,1678,1,3199
360,18,TX7,1678,1,3299
361,317,L7,1694,2,5325
362,164,TX13,1678,2,4000
363,220,L15,66,2,3900
364,18,L16,238,1,10150
365,1,TX10,1703,1,4525
366,65,L9,1699,1,11499
367,1,L10,18,1,1775
368,18,L9,1699,1,10574
369,1,L2,350,1,4475
370,1691,L9,1699,1,5924
371,1691,L7,1698,2,5800
372,1,L4,1328,1,3475
373,1328,L7,1698,2,8750
374,1,L5,18,1,1775
375,32,L11,88,2,5325
376,88,TX14,1703,1,6875
377,32,L12,88,1,5324
378,2,L11,18,1,1549
379,2,L12,18,2,1524
380,2,L12,144,2,6124
381,174,L7,1698,2,11725
382,2,L17,18,1,1525
383,2,L17,262,1,3699
384,2,L6,18,1,1525
385,506,L24,507,1,574
386,507,TX14,1703,1,3750
387,506,L25,381,1,574
388,381,TX14,1703,1,3600
389,506,L33,507,1,574
390,506,L35,507,1,574
391,506,L45,507,1,574
392,506,251,381,1,574
393,376,L20,88,1,4925
394,14,BRT2,16,1,5925
395,367,L9,1699,1,1324
396,1697,L7,1698,2,550
397,367,L20,369,1,1225
398,367,L6,369,1,1225
399,6981,TX14,1703,2,325
400,1,TX1,18,2,1824
401,1,TX6,507,1,749
402,1,TX8,62,1,4400
403,256,L16,29,2,2349
404,64,L9,1700,1,12324
405,256,L16,1,2,5949
406,256,L16,27,2,1749
407,988,L6,387,2,8849
408,256,L23,29,2,2349
409,256,L23,27,2,1749
410,256,L30,36,1,2568
411,63,L9,1700,1,12799
412,256,L30,990,1,1749
413,766,L27,459,2,2274
414,766,L5,459,2,2299
415,982,L3,1,2,7999
416,954,L3,956,1,624
417,254,L16,1,2,6874
418,1646,L6,1651,1,1925
419,53,L10,1,2,9099
420,767,L5,1,2,10675
421,542,L24,506,2,699
422,375,L25,506,2,749
423,542,L33,506,2,675
424,542,L35,506,2,675
425,542,L45,506,2,700
426,375,251,506,2,749
427,375,L20,376,1,499
428,66,L15,215,2,2225
429,1657,L6,988,2,2700
430,27,L1,1,2,3474
431,64,L10,1,2,3699
432,64,L14,1,2,3699
433,27,L16,1,2,4199
434,1657,L6,32,2,6199
435,361,L2,1,2,1499
436,66,L4,1,2,2275
437,64,L5,1,2,3699
438,64,L66,1,2,3700
439,6212,BRT2,46,2,999
440,6212,BRT4,46,2,924
441,66,TX1,506,1,1875
442,32,TX6,506,1,99
443,381,TX6,506,2,599
444,32,TX8,506,2,150
445,32,TX10,506,1,75
446,381,TX10,506,2,625
447,1647,L9,1651,2,1450
448,1647,L9,188,2,1975
449,1656,L9,364,1,13224
