id,startstop,ligne,endstop,dir,ridedist
306,11574,L44,10017,2,4299
307,10018,L17,10261,1,1499
308,10619,L26,10261,1,1275
309,10619,L261,10261,1,1275
310,10619,L262,10261,1,1275
311,10771,L28,10772,1,1449
312,10017,TX4,10772,1,1100
313,10017,TX9,10772,1,1099
314,10017,TX7,10772,1,1149
315,11574,L441,10017,2,4299
316,10219,L15,10066,2,4575
317,10219,L15,10017,2,4050
318,74,BRT3,2092,2,6599
320,74,BRT3,6472,2,5999
324,74,BRT3,61,2,4600
325,125611,TX13,10772,2,2250
326,10284,L17,10066,2,10600
327,10066,L6,10381,2,2725
328,10284,L17,10032,2,12000
331,11676,L9,10040,2,11799
332,10364,L20,10376,1,7549
333,10001,L10,10040,1,6300
334,10001,L5,10040,1,6300
335,10001,L66,10040,1,6300
336,10001,L14,10189,1,6350
337,10376,TX8,10040,1,6000
338,10364,L6,10376,1,7549
339,10364,L6,10018,1,9974
340,10180,L13,10040,2,4199
341,10180,L22,10040,1,4174
342,10180,L27,10040,1,4174
343,10018,L43,10040,1,4525
344,10364,L6,11651,1,16874
345,10053,L10,10059,2,2399
346,10364,L6,10188,1,17399
347,10052,L13,10059,1,4250
348,10767,L27,10059,2,3950
349,10767,L5,10059,2,3974
350,10364,L6,11647,1,15424
351,11656,L9,10059,1,1324
352,44,BRT1,23,1,4425
353,10364,L6,10033,1,9399
354,10066,TX5,10040,1,4149
355,11676,L7,10163,1,7150
356,10178,L13,10040,2,7924
357,59,BRT2,66,2,7650
358,59,BRT2,65,2,9550
359,59,BRT2,9392,2,8625
360,10004,TX5,10040,1,3849
361,59,BRT2,6232,2,6650
362,10364,TX4,10018,2,4849
363,10018,L10,10040,1,4525
364,10364,TX4,10322,2,4749
365,10016,L13,10040,2,4799
366,10364,TX4,10180,2,4849
367,10018,L5,10040,1,4525
368,10018,L66,10040,1,4525
369,10018,L14,10189,1,4575
370,10364,TX4,10260,2,4349
371,10296,TX5,10040,1,4599
372,10364,TX7,10018,2,4600
373,10364,TX7,10322,2,4550
374,10364,TX7,10180,2,4600
375,10364,TX7,10260,2,4150
376,10364,TX13,125611,1,5550
377,10177,L13,10040,2,8574
378,10307,L20,10381,2,7875
379,3402,BRT4,6232,2,6050
380,10135,L12,10002,2,7775
381,10032,L6,10381,2,1300
382,34,BRT2,6231,1,999
383,34,BRT4,6231,1,924
384,10135,L12,10078,2,974
385,10078,TX14,10375,1,4300
387,10078,TX6,10375,2,4700
389,10307,L18,10064,1,7450
390,10307,L18,10018,1,8850
391,10307,L18,10077,1,899
392,10077,TX14,10375,1,4300
393,10077,TX6,10375,2,4700
394,10307,L21,10077,2,899
395,10326,L21,10398,1,9249
396,10135,TX15,10077,2,849
397,10052,L9,11328,1,9424
398,10052,L10,10066,2,7574
399,10052,L10,10064,2,6125
400,10052,L13,10018,1,8675
401,10052,L13,10163,1,12825
402,10317,L7,11328,2,999
403,10052,L13,10064,1,7275
406,10052,L13,10162,1,12375
407,10052,L13,10161,1,12000
408,10161,TX2,11345,2,1199
409,10161,TX3,11345,2,1000
410,10052,L6,10066,2,7249
411,10052,L6,10386,2,13574
412,11674,L7,11345,1,8299
413,10052,L6,10388,2,14349
