ind,trip,type
8143,1097,2
8143,1406,3
8143,1100,2
41949,695,1
41949,1408,2
41949,1409,3
41949,1410,2
41949,1411,3
41949,673,3
41949,675,3
41949,1412,3
41949,1413,2
41949,1414,2
41949,1415,2
10991,15,2
10991,1416,3
10991,1417,3
10991,20,2
10991,1418,3
10991,24,2
10991,23,2
10991,26,2
10991,25,2
10991,28,2
10991,27,2
10991,33,2
10991,1420,3
10991,39,2
10991,45,2
10991,48,2
10991,1423,3
39755,1424,2
39755,1425,3
39755,1426,2
39755,1427,3
39755,1428,2
39755,1429,3
39755,1430,2
39755,1431,3
39755,1432,3
39755,1433,3
39755,1435,2
39755,1436,3
39755,1437,3
39755,1438,2
39755,1439,2
39755,1440,2
39755,1441,3
82455,505,2
82455,1443,3
82455,1444,3
82455,1445,2
82455,507,2
82455,1446,3
82455,1447,2
82455,1448,2
82455,1449,3
82455,512,2
82455,517,2
9628,1450,1
9628,837,1
9628,1451,2
9628,1452,3
9628,1453,3
9628,1454,2
9628,1455,3
9628,1460,3
9628,1464,2
9628,1472,2
9628,1473,3
9628,1474,2
9628,1475,3
9628,1476,3
9628,1477,2
9628,1478,3
9628,1479,3
9628,70,3
9628,1480,3
9628,1481,2
9628,1482,3
34429,1606,1
34429,1620,1
34429,1616,2
34429,4123,3
34429,1618,2
34429,4124,3
34429,487,3
34429,132,2
34429,4125,3
34429,882,3
34429,133,2
34429,1624,2
7984,1483,2
7984,1484,3
7984,1485,2
7984,1486,3
7984,1487,2
7984,1488,3
7984,1489,2
7984,1490,2
7984,1491,3
20903,1492,2
20903,1493,3
20903,518,2
20903,1494,3
20903,521,2
20903,1495,2
20903,1496,3
20903,524,2
20903,522,2
20903,1497,3
20903,1498,3
20903,525,2
20903,1499,2
20903,1500,3
20903,1385,2
20903,1501,2
20903,1502,3
20903,1387,2
20903,1507,3
20903,527,2
20903,526,2
20903,1508,3
20903,1509,3
20903,1510,2
20903,1511,3
20903,1512,2
20903,1513,2
20903,1514,2
20903,1515,2
20903,1516,2
20903,1517,2
20903,1518,2
87206,1519,2
87206,460,3
87206,1520,2
87206,1040,3
87206,1041,3
87206,1042,3
87206,1521,2
87206,1044,3
87206,478,3
87206,1522,2
87206,1523,3
87206,1524,2
87206,1525,3
87206,1526,2
87206,1527,3
87206,1528,2
87206,1529,2
87206,1530,3
843,1531,1
32669,1532,1
32669,1533,1
32669,332,2
32669,1534,3
32669,357,2
32669,362,2
32669,1535,3
32669,372,2
11894,1536,2
11894,544,3
11894,1537,2
11894,536,3
11894,1538,2
11894,1539,3
11894,1540,2
11894,538,3
11894,753,2
11894,1541,3
11894,1542,2
11894,1543,2
11894,1544,2
11894,1545,2
11894,1546,2
11894,1547,2
38959,1548,2
38959,1549,3
38959,1550,2
38959,327,3
38959,1551,2
38959,1552,3
38959,220,3
38959,221,3
38959,1553,3
38959,1554,3
38959,1557,3
94062,1559,1
2359,1560,1
2359,851,2
2359,1561,3
2359,1562,2
2359,1563,3
2359,1564,3
2359,1565,2
2359,1566,3
2359,1567,2
2359,1568,3
2359,856,2
2359,1569,3
2359,1570,3
2359,1571,3
2359,860,2
2359,861,2
2359,1572,2
2359,817,3
2359,1573,2
2359,1574,3
2359,862,2
2359,866,2
2359,1494,2
2359,1577,3
2359,1578,3
2359,1075,2
2359,867,2
2359,850,2
2359,1579,2
2359,1580,3
2359,1581,2
2359,1582,3
2359,1077,2
2359,1583,2
2359,1584,3
2359,1084,2
2359,1585,2
2359,1586,3
2359,1587,3
2359,1588,3
2359,1589,3
2359,1085,2
2359,1593,2
2359,1594,3
2359,1086,2
2359,1088,2
2359,1595,3
2359,290,2
2359,1596,2
2359,1597,2
2359,1090,2
2359,868,2
2359,1598,3
2359,869,2
2359,1599,2
2359,1600,2
2359,1601,2
2359,1095,2
2359,1097,2
2359,1602,3
2359,1603,2
2359,1604,3
2359,1605,2
34674,1606,2
34674,1607,3
34674,1608,3
34674,1609,3
34674,121,2
34674,1610,3
34674,1611,2
34674,1612,3
34674,1613,3
34674,1614,3
34674,1615,3
34674,1616,2
34674,1617,3
34674,1618,2
34674,1619,3
34674,1620,2
34674,1621,2
34674,1622,3
34674,1623,2
34674,132,2
34674,133,2
34674,1624,2
66551,1625,2
66551,1626,3
66551,1627,2
66551,500,3
66551,1628,2
66551,1629,3
66551,1630,3
43473,1631,2
43473,1632,3
43473,1633,3
43473,1634,3
43473,1635,2
43473,1636,2
43473,1637,2
43473,1638,2
43473,1639,2
43473,1640,3
43473,1641,2
43473,662,3
43473,1642,2
43473,1643,3
43473,1644,2
43473,1645,3
43473,1646,2
43473,1647,3
43473,1648,2
43473,1649,2
85519,1521,2
85519,1650,3
80563,171,2
80563,1651,3
80563,178,2
80563,182,2
80563,1652,2
80563,1653,2
80563,1654,2
80563,1655,2
80563,1656,3
80563,1657,2
80563,1658,3
53954,1659,2
53954,1660,3
53954,1661,3
53954,1662,2
53954,1663,2
53954,1664,2
53954,1665,2
53954,1666,3
53954,1070,3
84019,1667,2
84019,1668,3
84019,1669,2
84019,1670,3
84019,1671,2
84019,1672,3
84019,1673,3
84019,1674,2
84019,1675,3
88179,1676,2
88179,1677,3
88179,1678,2
88179,1301,3
88179,1679,2
88179,1276,3
88179,1680,3
88179,1681,3
88179,1682,2
88179,1683,3
88179,1684,2
88179,1685,2
88179,1274,3
88179,1686,2
88179,1687,2
88179,1688,3
88179,1689,2
88179,1690,2
88179,1283,3
88179,1691,2
88179,1692,2
88179,1693,2
88179,1694,2
88179,1289,3
88179,1695,2
88179,1291,3
88179,1696,2
88179,1697,3
88179,1698,2
88179,1699,3
88179,1700,3
88179,1701,2
88179,1298,3
88179,1214,2
88179,1304,2
88179,1702,3
88179,1703,3
85905,1704,2
85905,1705,3
85905,1706,2
85905,523,3
85905,1707,3
85905,1052,2
85905,520,3
85905,519,3
85905,1708,2
85905,1709,2
28346,1710,1
28346,1711,1
28346,1618,2
28346,1712,3
28346,1621,2
28346,1713,3
28346,1623,2
28346,1673,3
28346,1714,2
