bus,direction,stop_index,stop_id
L19,1,7,10087
L19,1,8,10089
L19,1,9,10337
L19,2,0,10337
L19,2,1,10080
L19,2,2,10082
L19,2,3,10083
L19,2,4,10084
L19,2,5,10001
L2,1,0,10001
L2,1,1,10338
L2,1,2,10339
L2,1,3,10340
L2,1,4,10341
L2,1,5,10342
L2,1,6,10343
L2,1,7,10344
L2,1,8,10345
L2,1,9,10346
L2,1,10,10347
L2,1,11,10348
L2,1,12,10349
L2,1,13,10350
L2,1,14,10351
L2,2,0,10351
L2,2,1,10352
L2,2,2,10353
L2,2,3,10354
L2,2,4,10355
L2,2,5,10356
L2,2,6,10357
L2,2,7,10358
L2,2,8,10359
L2,2,9,10360
L2,2,10,10361
L2,2,11,10362
L2,2,12,10032
L2,2,13,10001
L20,1,0,10363
L20,1,1,10364
L20,1,2,10365
L20,1,3,10366
L20,1,4,10367
L20,1,5,10368
L20,1,6,10369
L20,1,7,10370
L20,1,8,10371
L20,1,9,10372
L20,1,10,10373
L20,1,11,10374
L20,1,12,10375
L20,1,13,10376
L20,1,14,10085
L20,1,15,10086
L20,1,16,10087
L20,1,17,10088
L20,1,18,10089
L20,1,19,10090
L20,1,20,10091
L20,1,21,10092
L20,1,22,10093
L20,1,23,10325
L20,1,24,10326
L20,1,25,10327
L20,1,26,10328
L20,1,27,10329
L20,1,28,10330
L20,1,29,10331
L20,1,30,10377
L20,1,31,10378
L20,2,0,10378
L20,2,1,10379
L20,2,2,10302
L20,2,3,10303
L20,2,4,10304
L20,2,5,10305
L20,2,6,10306
L20,2,7,10307
L20,2,8,10308
L20,2,9,10076
L20,2,10,10077
L20,2,11,10078
L20,2,12,10079
L20,2,13,10080
L20,2,14,10081
L20,2,15,10082
L20,2,16,10083
L20,2,17,10084
L20,2,18,10380
L20,2,19,10381
L20,2,20,10382
L20,2,21,10383
L20,2,22,10384
L20,2,23,10385
L20,2,24,10386
L20,2,25,10387
L20,2,26,10388
L20,2,27,10389
L20,2,28,10390
L20,2,29,10391
L20,2,30,10363
L21,1,0,10090
L21,1,1,10091
L21,1,2,10092
L21,1,3,10093
L21,1,4,10325
L21,1,5,10326
L21,1,6,10327
L21,1,7,10328
L21,1,8,10329
L21,1,9,10330
L21,1,10,10331
L21,1,11,10377
L21,1,12,10392
L21,1,13,10393
L21,1,14,10394
L21,1,15,10395
L21,1,16,10396
L21,1,17,10397
L21,1,18,10055
L21,1,19,10056
L21,1,20,10057
L21,1,21,10398
L21,2,0,10399
L21,2,1,10042
L21,2,2,10043
L21,2,3,10044
L21,2,4,10400
L21,2,5,10401
L21,2,6,10402
L21,2,7,10403
L21,2,8,10404
L21,2,9,10405
L21,2,10,10379
L21,2,11,10302
L21,2,12,10303
L21,2,13,10304
L21,2,14,10305
L21,2,15,10306
L21,2,16,10307
L21,2,17,10308
L21,2,18,10076
L21,2,19,10077
L21,2,20,10078
L21,2,21,10079
L22,1,0,10180
L22,1,1,10034
L22,1,2,10035
L22,1,3,10036
L22,1,4,10037
L22,1,5,10038
L22,1,6,10039
L22,1,7,10040
L22,1,8,10406
L22,1,9,10407
L22,1,10,10408
L22,1,11,10409
L22,1,12,10410
L22,1,13,10411
L22,1,14,10412
L22,1,15,10413
L22,1,16,10414
L22,1,17,10415
L22,1,18,10416
L22,1,19,10417
L22,1,20,10418
L22,1,21,10419
L22,1,22,10420
L22,1,23,10421
L22,1,24,10422
L22,1,25,10423
L22,1,26,10424
L22,1,27,10425
L22,1,28,10426
L22,1,29,10427
L22,1,30,10428
L22,1,31,10429
L22,1,32,10430
L22,1,33,10431
L22,1,34,10432
L22,1,35,10433
L22,1,36,10434
L22,1,37,10435
L22,1,38,10436
L22,2,0,10436
L22,2,1,10437
L22,2,2,10438
L22,2,3,10439
L22,2,4,10440
L22,2,5,10441
L22,2,6,10442
L22,2,7,10443
L22,2,8,10444
L22,2,9,10445
L22,2,10,10446
L22,2,11,10447
L22,2,12,10448
L22,2,13,10449
L22,2,14,10450
L22,2,15,10451
L22,2,16,10452
L22,2,17,10453
L22,2,18,10454
L22,2,19,10455
L22,2,20,10456
L22,2,21,10457
L22,2,22,10458
L22,2,23,10459
L22,2,24,10460
L22,2,25,10461
L22,2,26,10462
L22,2,27,10463
L22,2,28,10464
L22,2,29,10059
L22,2,30,10060
L22,2,31,10061
L22,2,32,10062
L22,2,33,10063
L22,2,34,10064
L22,2,35,10065
L22,2,36,10180
L23,1,0,10180
L23,1,1,10005
L23,1,2,10006
L23,1,3,10222
L23,1,4,10223
L23,1,5,10224
L23,1,6,10225
L23,1,7,10226
L23,1,8,10227
L23,1,9,10465
L23,1,10,10466
L23,1,11,10467
L23,1,12,10468
L23,1,13,10469
L23,1,14,10470
L23,1,15,10471
L23,1,16,10472
L23,1,17,10473
L23,1,18,10474
L23,1,19,10475
L23,1,20,10476
L23,1,21,10477
L23,1,22,10478
L23,1,23,10479
L23,1,24,10480
L23,1,25,10481
L23,1,26,10482
L23,1,27,10483
L23,1,28,10484
L23,2,0,10485
L23,2,1,10486
L23,2,2,10487
L23,2,3,10488
L23,2,4,10489
L23,2,5,10490
L23,2,6,10491
L23,2,7,10492
L23,2,8,10493
L23,2,9,10494
L23,2,10,10495
L23,2,11,10496
L23,2,12,10497
L23,2,13,10498
L23,2,14,10499
L23,2,15,10500
L23,2,16,10501
L23,2,17,10502
L23,2,18,10503
L23,2,19,10504
L23,2,20,10254
L23,2,21,10255
L23,2,22,10256
L23,2,23,10257
L23,2,24,10505
L23,2,25,10259
L23,2,26,10027
L23,2,27,10028
L23,2,28,10029
L23,2,29,10180
L24,1,0,10506
L24,1,1,10507
L24,1,2,10508
L24,1,3,10509
L24,1,4,10510
L24,1,5,10511
L24,1,6,10512
L24,1,7,10513
L24,1,8,10514
L24,1,9,10515
L24,1,10,10516
L24,1,11,10517
L24,1,12,10518
L24,1,13,10519
L24,1,14,10520
L24,1,15,10521
L24,1,16,10522
L24,1,17,10523
L24,1,18,10524
L24,2,0,10525
L24,2,1,10526
L24,2,2,10527
L24,2,3,10528
L24,2,4,10529
L24,2,5,10530
L24,2,6,10531
L24,2,7,10532
L24,2,8,10533
L24,2,9,10534
L24,2,10,10535
L24,2,11,10536
L24,2,12,10537
L24,2,13,10538
L24,2,14,10539
L24,2,15,10540
L24,2,16,10541
L24,2,17,10542
L24,2,18,10506
L25,1,0,10506
L25,1,1,10381
L25,1,2,10382
L25,1,3,10383
L25,1,4,10543
L25,1,5,10544
L25,1,6,10545
L25,1,7,10546
L25,1,8,10547
L25,1,9,10548
L25,1,10,10549
L25,1,11,10550
L25,1,12,10551
L25,1,13,10552
L25,1,14,10553
L25,1,15,10554
L25,1,16,10555
L25,1,17,10556
L25,1,18,10557
L25,1,19,10558
L25,1,20,10559
L25,1,21,10560
L25,1,22,10561
L25,1,23,10562
L25,1,24,10563
L25,1,25,10564
L25,1,26,10565
L25,1,27,10566
L25,1,28,10567
L25,1,29,10568
L25,1,30,10569
L25,1,31,10570
L25,1,32,10571
L25,1,33,10572
L25,1,34,10573
L25,1,35,10574
L25,1,36,10575
L25,1,37,10576
L25,1,38,10577
L25,1,39,10578
L25,1,40,10579
L25,1,41,10580
L25,2,0,10581
L25,2,1,10582
L25,2,2,10583
L25,2,3,10584
L25,2,4,10585
L25,2,5,10586
L25,2,6,10587
L25,2,7,10588
L25,2,8,10589
L25,2,9,10590
L25,2,10,10591
L25,2,11,10592
L25,2,12,10593
L25,2,13,10594
L25,2,14,10595
L25,2,15,10596
L25,2,16,10597
L25,2,17,10598
L25,2,18,10599
L25,2,19,10600
L25,2,20,10601
L25,2,21,10602
L25,2,22,10603
L25,2,23,10604
L25,2,24,10605
L25,2,25,10606
L25,2,26,10607
L25,2,27,10608
L25,2,28,10609
L25,2,29,10610
L25,2,30,10611
L25,2,31,10612
L25,2,32,10613
L25,2,33,10614
L25,2,34,10615
L25,2,35,10616
L25,2,36,10617
L25,2,37,10618
L25,2,38,10373
L25,2,39,10374
L25,2,40,10375
L25,2,41,10506
L26,1,0,10619
L26,1,1,10260
L26,1,2,10261
L26,1,3,10262
L26,1,4,10263
L26,1,5,10264
L26,1,6,10265
L26,1,7,10266
L26,1,8,10267
L26,1,9,10268
L26,1,10,10269
L26,1,11,10620
L26,1,12,10621
L26,1,13,10622
L26,1,14,10623
L26,1,15,10624
L26,1,16,10625
L26,1,17,10626
L26,1,18,10627
L26,1,19,10628
L26,1,20,10629
L26,1,21,10630
L26,1,22,10631
L26,1,23,10632
L26,1,24,10633
L26,1,25,10634
L26,1,26,10635
L26,2,0,10635
L26,2,1,10636
L26,2,2,10637
L26,2,3,10638
L26,2,4,10639
L26,2,5,10640
L26,2,6,10641
L26,2,7,10642
L26,2,8,10643
L26,2,9,10644
L26,2,10,10645
L26,2,11,10646
L26,2,12,10647
L26,2,13,10648
L26,2,14,10649
L26,2,15,10650
L26,2,16,10287
L26,2,17,10288
L26,2,18,10289
L26,2,19,10290
L26,2,20,10291
L26,2,21,10292
L26,2,22,10293
L26,2,23,10294
L26,2,24,10295
L26,2,25,10296
L26,2,26,10297
L26,2,27,10619
L261,1,0,10619
L261,1,1,10260
L261,1,2,10261
L261,1,3,10262
L261,1,4,10263
L261,1,5,10264
L261,1,6,10265
L261,1,7,10266
L261,1,8,10267
L261,1,9,10268
L261,1,10,10269
L261,1,11,10620
L261,1,12,10621
L261,1,13,10622
L261,1,14,10623
L261,1,15,10624
L261,1,16,10625
L261,1,17,10626
L261,1,18,10651
L261,1,19,10652
L261,1,20,10653
L261,1,21,10654
L261,1,22,10655
L261,1,23,10656
L261,1,24,10657
L261,1,25,10658
L261,1,26,10659
L261,1,27,10660
L261,1,28,10661
L261,1,29,10662
L261,1,30,10663
L261,1,31,10664
L261,1,32,10665
L261,1,33,10666
L261,1,34,10667
L261,1,35,10668
L261,1,36,10669
L261,1,37,10670
L261,1,38,10671
L261,1,39,10672
L261,1,40,10673
L261,1,41,10674
L261,1,42,10675
L261,1,43,10676
L261,1,44,10677
L261,1,45,10678
L261,1,46,10679
L261,1,47,10680
L261,1,48,10681
L261,1,49,10682
L261,1,50,10683
L261,1,51,10684
L261,1,52,10685
L261,1,53,10686
L261,1,54,10687
L261,1,55,10688
L261,2,0,10689
L261,2,1,10690
L261,2,2,10691
L261,2,3,10692
L261,2,4,10693
L261,2,5,10694
L261,2,6,10695
L261,2,7,10696
L261,2,8,10697
L261,2,9,10698
L261,2,10,10699
L261,2,11,10700
L261,2,12,10701
L261,2,13,10702
L261,2,14,10703
L261,2,15,10704
L261,2,16,10705
L261,2,17,10706
L261,2,18,10707
L261,2,19,10708
L261,2,20,10709
L261,2,21,10710
L261,2,22,10711
L261,2,23,10712
L261,2,24,10713
L261,2,25,10714
L261,2,26,10715
L261,2,27,10716
L261,2,28,10717
L261,2,29,10718
L261,2,30,10719
L261,2,31,10720
L261,2,32,10721
L261,2,33,10722
L261,2,34,10723
L261,2,35,10724
L261,2,36,10725
L261,2,37,10726
L261,2,38,10644
L261,2,39,10645
L261,2,40,10646
L261,2,41,10647
L261,2,42,10648
L261,2,43,10649
L261,2,44,10650
L261,2,45,10287
L261,2,46,10288
L261,2,47,10289
L261,2,48,10290
L261,2,49,10291
L261,2,50,10292
L261,2,51,10293
L261,2,52,10294
L261,2,53,10295
L261,2,54,10296
L261,2,55,10297
L261,2,56,10619
L262,1,0,10619
L262,1,1,10260
L262,1,2,10261
L262,1,3,10262
L262,1,4,10263
L262,1,5,10264
L262,1,6,10265
L262,1,7,10266
L262,1,8,10267
L262,1,9,10268
L262,1,10,10269
L262,1,11,10620
L262,1,12,10621
L262,1,13,10622
L262,1,14,10623
L262,1,15,10624
L262,1,16,10625
L262,1,17,10626
L262,1,18,10727
L262,1,19,10728
L262,1,20,10729
L262,1,21,10730
L262,1,22,10731
L262,1,23,10732
L262,1,24,10733
L262,2,0,10733
L262,2,1,10734
L262,2,2,10735
L262,2,3,10736
L262,2,4,10737
L262,2,5,10738
L262,2,6,10739
L262,2,7,10644
L262,2,8,10645
L262,2,9,10646
L262,2,10,10647
L262,2,11,10648
L262,2,12,10649
L262,2,13,10650
L262,2,14,10287
L262,2,15,10288
L262,2,16,10289
L262,2,17,10290
L262,2,18,10291
L262,2,19,10292
L262,2,20,10293
L262,2,21,10294
L262,2,22,10295
L262,2,23,10296
L262,2,24,10297
L262,2,25,10619
L27,1,0,10180
L27,1,1,10034
L27,1,2,10035
L27,1,3,10036
L27,1,4,10037
L27,1,5,10038
L27,1,6,10039
L27,1,7,10040
L27,1,8,10406
L27,1,9,10407
L27,1,10,10408
L27,1,11,10409
L27,1,12,10410
L27,1,13,10411
L27,1,14,10740
L27,1,15,10183
L27,1,16,10184
L27,1,17,10185
L27,1,18,10186
L27,1,19,10187
L27,1,20,10741
L27,1,21,10742
L27,1,22,10743
L27,1,23,10744
L27,1,24,10745
L27,1,25,10746
L27,1,26,10747
L27,1,27,10748
L27,1,28,10749
L27,1,29,10750
L27,1,30,10751
L27,1,31,10752
L27,1,32,10753
L27,1,33,10754
L27,2,0,10755
L27,2,1,10756
L27,2,2,10757
L27,2,3,10758
L27,2,4,10759
L27,2,5,10760
L27,2,6,10761
L27,2,7,10762
L27,2,8,10763
L27,2,9,10764
L27,2,10,10765
L27,2,11,10766
L27,2,12,10767
L27,2,13,10768
L27,2,14,10769
L27,2,15,10156
L27,2,16,10157
L27,2,17,10158
L27,2,18,10770
L27,2,19,10459
L27,2,20,10460
L27,2,21,10461
L27,2,22,10462
L27,2,23,10463
L27,2,24,10464
L27,2,25,10059
L27,2,26,10060
L27,2,27,10061
L27,2,28,10062
L27,2,29,10063
L27,2,30,10064
L27,2,31,10065
L27,2,32,10180
L28,1,0,10771
L28,1,1,10772
L28,1,2,10773
L28,1,3,10774
L28,1,4,10775
L28,1,5,10266
L28,1,6,10267
L28,1,7,10776
L28,1,8,10777
L28,1,9,10778
L28,1,10,10625
L28,1,11,10779
L28,1,12,10780
L28,1,13,10781
L28,1,14,10782
L28,1,15,10783
L28,1,16,10784
